Title,Location,Company,skills,wage,qualifications,work_place,job_type
AI/ML Technical SETA,Remote,Blu Omega,N/A,"From $130,000 a year","Master’s or Ph.D. in Computer Science, AI, ML or a related field",Remote,Full-time
Argus Array Survey Scientist,"Chapel Hill, NC 27599",University of North Carolina at Chapel Hill,N/A,"$90,000 - $110,000 a year",N/A,N/A,Full-Time
PROMT ENGINEERING SPECIALISTS,Remote,Proits Hub LLC,"Python, TensorFlow, PyTorch",N/A,N/A,Remote,Contract
"Software Engineer (L5), Consumer ML Model Serving Systems",Remote,Netflix,"Java, N/A",N/A,N/A,N/A,Full-time
Full Stack Web Developer,"Aventura, FL 33180",Cardone Enterprises Inc,"JavaScript, HTML5, CSS3, WordPress, mySQL, PHP, Ruby",N/A,N/A,In-person,full-time
"Conversation Designer, Google Ads","Los Angeles, CA 
(Venice area)",Google,N/A,N/A,"Design, Human-Computer Interaction, Computer Science, or a related field",N/A,full-time
Associate Structural Analysis Engineer (Software Development),"Hybrid remote in Tukwila, WA",BOEING,"C#, .NET","$81,600 - $110,400 a year","Bachelor, Master or Doctorate degree from an accredited course of study, in Computer Engineering, Software Engineering, Computer Science, Mathematics, Physics or other technical degree",Hybrid,N/A
R&D Software Engineering Co-op- Fall 2024,"Cincinnati, OH",Johnson & Johnson,"Programming Languages
C, C++, Python",N/A,"Computer science, computer engineering or a related field",N/A,Internship
Systems Engineer,Remote,Creative Technology Solutions,N/A,"$87,425.72 - $105,286.88 a year",N/A,Remote,Full-time
Python Software Engineer,"New York, NY",Old Mission,"Python, N/A",N/A,N/A,N/A,N/A
Research Engineer I,"Cambridge, MA 02138 
(Cambridge Highlands area)",Raytheon,"- Java
- C++
- Python",N/A,Computer Science,N/A,N/A
Solutions Engineer,Remote,Semgrep,N/A,N/A,"computer science, computer engineering, similar technical field of study, boot-camp completion, or equivalent practical experience",Remote,N/A
"Research Scientist, Future Product Innovation","Los Altos, CA 94022",Toyota Research Institute,N/A,"$151,800 - $210,000 a year",N/A,N/A,N/A
Developer,"Palo Alto, CA 94304",SAP,"JavaScript, ReactJS, HTML, CSS",N/A,"Computer Science, Engineering, Mathematics",Remote,Full-time
Research Assistant,"Chapel Hill, NC 27599",University of North Carolina at Chapel Hill,"**LINUX, C, C++, scripting, Matlab**",$10.61 - $15.00 an hour,N/A,N/A,Full-Time Temporary
Software Engineer,"Hybrid remote in Glendale, CA 91203",Karagozian & Case,C/C++,"$80,000 - $108,000 a year","Computer Science, Math, Physics",Hybrid,Full-time
Software Engineer,"Winston-Salem, NC 27101","La Tortilleria, LLC","C, C++, C#, Fortran","$65,000 - $150,000 a year",N/A,Hybrid,Full-time
Software Engineer,"Westlake, OH 44145",Technology Recovery Group,"C, C++, C#, Fortran, Python","$70,000 - $110,000 a year","Computer Science, Math, Physics",Hybrid,Full-time
Application Security Engineer,Remote,Indeed,"Java, Python, Javascript","$110,000 - $154,000 a year","Computer Science, Engineering, Computer Security, Information Systems",Remote,Full-time
Software Developer & QA Engineer,"Bellevue, WA 98004 
(Downtown area)",NORCOM 911,"Programming Languages
C#
HTML
CSS
Javascript","$123,861 - $145,720 a year",Computer Science,In-person,Full-time
Engineer Software Quality - Level 2/3,"Melbourne, FL",Northrop Grumman,"Java, C++, Python, N/A","$68,500 - $102,700 a year","Software Quality Engineer, Bachelor’s degree in Computer Science, Software Engineering, another STEM degree or equivalent, Principal Software Quality Engineer, Bachelor’s degree in Computer Science, Software Engineering, another STEM degree or equivalent",In-person,Full-time
Full Stack Software Engineer,"Cambridge, MA 02138 
(Cambridge Highlands area)",Leadstack Inc,"R, Python, Linux, Javascript, PostresSQL, HTML, CSS, PHP, mongoDB, C++, Java, Django, React, Boostrap, D3.js, AngularJS, Laravel, Zend, CodeIgniter, Flask",$50 - $65 an hour,"computer science, computer engineering",In person,full-time
Teacher - Entry Level to Experienced,"New York, NY 10018 
(Garment District area)",Success Academy Charter Schools,"Computer Science, N/A","From $60,000 a year",N/A,In-person,Full-time
Account Resolution Portfolio Risk Analyst,"North Liberty, IA 52317",GreenState Credit Union,"R, Python, Microsoft Power BI, SQL, Microsoft Visual Basic (VBA)","$90,593.36 - $121,250.74 a year","Business Administration, Computer Science, Management Information Systems",N/A,Full-Time
CSSP Auditor,"Arlington, VA 22201 
(Lyon Village area)",Information Technology Services,"Perl, Python, C","$130,000 - $160,000 a year","Computer science, engineering",In-person,Full-time
Communications and Networking Scientist,"Laurel, MD 20723",Johns Hopkins Applied Physics Laboratory (APL),"MATLAB, Python, C/C++",N/A,"Electrical Engineering, Mathematics, Computer Science, or a related field",N/A,N/A
Summer Student - IT,"Lexington, MA",MIT Lincoln Laboratory,N/A,N/A,Bachelor's of Science Computer Science,In-person,Full-time
AI Machine Learning Engineer,"Hybrid remote in Iselin, NJ 08830",Trinity Solar Careers,"Python, C#","$110,000 - $200,000 a year","Computer Science, Machine Learning",Hybrid,Full-time
Principal Software Engineer/Sr. Principal Software Engineer,"Rolling Meadows, IL 60008",Northrop Grumman,"C++
Python
Bash
Batch","$102,400 - $153,600 a year",N/A,N/A,N/A
"Frontend Software QA Engineer, Digital Products Engineering","Fremont, CA",Tesla,"Ruby, Python",N/A,Computer Science,N/A,full-time
Machine Learning Engineer,"North Brunswick, NJ 08902",Sonder Research X,"Python, Java, R","From $115,000 a year","Master's, Ph.D., or equivalent in Computer Science, Data Science, or related field, with a strong emphasis on machine learning.",In person,Full-time
Technology Risk Management and Supply Chain Planning Lead / Engineering and Physical Sciences Researcher,"Fort Meade, MD",National Security Agency,N/A,"$102,477 - $191,900 a year","Engineering, Physics or Astronomy",N/A,full-time
Data Scientist,Remote,Commit,"Python, Java, SQL, N/A, N/A","$103,565.50 - $124,724.04 a year",N/A,Remote,Full-time
Data Analysis and Support Engineer,"Hybrid remote in Burlington, MA 01803","Aware, Inc.",N/A,"$110,000 - $130,000 a year",N/A,Hybrid,Full-time
Microsoft 365 Engineer,"Berwyn, PA 19312",Main Line Health,N/A,"$89,460 - $138,632 a year",N/A,In-person,Full-time
Robotics Engineer,"Salinas, CA 93908",Stout Industrial Technology,C/C++,"$110,000 - $190,000 a year","Electrical Engineering, Computer Science, or a related field",In person,Full-time
"Senior Full Stack Engineer - Java, Javascript, React, Node - Enterprise Web Intelligence","Hybrid remote in Phoenix, AZ",Amex,"HTML, CSS, JavaScript Frameworks, React.js, NodeJS, Java, J2EE, Spring, JavaScript, React, Micro Services","$110,000 - $190,000 a year",N/A,Hybrid,N/A
Principal/Sr. Principal Digital Engineer,"San Diego, CA",Northrop Grumman,N/A,"$118,000 - $177,000 a year",N/A,In-person,N/A
"Research Engineer / Research Scientist, Finetuning","Hybrid remote in Seattle, WA",Anthropic,Python,"$280,000 - $600,000 a year",N/A,Hybrid,N/A
Senior SAP Business Analyst,"Cranberry, PA","Oxford Solutions, Inc",ABAP,"$100,000 - $120,000 a year",N/A,In-person,Full-time
AI Research Summer/Fall Co-op,"San Ramon, CA 94583",GE HEALTHCARE,"PyTorch, TensorFlow, Keras",$50 an hour,N/A,N/A,Internship
Software Engineer,"Jersey City, NJ 07310 
(The Waterfront area)",JPMorgan Chase & Co,"Java, JSON, Maven, Javascript, Junit, GIT, Jenkins","$173,000 - $260,000 a year",N/A,N/A,Full-time
Software Engineer,"Washington, DC","Blacktop Omnimedia, LLC","Java, JSON",From $50 an hour,N/A,N/A,full-time
"Engineer, Generative AI","Pleasanton, CA",Vagaro,N/A,"$160,000 - $190,000 a year","Computer Science, Data Science, Artificial Intelligence",In-person,Full-time
IT Data Governance Specialist,"North Liberty, IA 52317",GreenState Credit Union,N/A,"$90,593.36 - $121,250.74 a year","Computer Science/Engineering, Business Analytics, Information Technology, Statistics",N/A,Full-Time
Senior Data Architect #TS999,"Lexington Park, MD 20653",CRL Technologies,N/A,N/A,"Computer Science, Data Science",In-person,NA
Data Science Technical Fellow,Remote,Indeed,"Java, C, C++, Go, Tensorflow, PyTorch, Sagemaker, Python, R, SQL","$214,000 - $310,000 a year","Data Science, Computer Science, Statistics",Remote,Full-time
BI Specialist,"Seattle, WA 98101 
(Downtown area)",JLL,"Tableau, QuickSight, SQL","$129,500 - $187,800 a year","Bachelor's degree in liberal arts, computer science, information technology, or related field",N/A,N/A
Software Engineer,"Jersey City, NJ 07310 
(The Waterfront area)",JPMorgan Chase & Co,"Cloud Services such as AWS or Azure, Java, JSON, Maven, Oracle, Junit, Microservices, Performance Testing, REST, Apache Kafka, GIT, Spring Framework, Cassandra, Cucumber, J2EE, Software Development, SQL","$174,200 - $215,000 a year","Computer Engineering, Computer Science, Information Technology",N/A,Full-time
Senior Software Developer,"Remote in Redmond, WA 98052",Experis,"C#, KQL",$62 - $67 an hour,Computer Science,Remote,Full-time
Operations Research Analyst,"Norfolk, VA",Confidential,N/A,"$75,000 - $175,000 a year","Operations Research, Computer Science, Physics, Mathematics, Statistics, Engineering",In-person,Full-time
Backend DevOps Engineer,Remote,Spresso,"Typescript, Node.js, Go, Java, Python","$125,000 - $170,000 a year",Computer Science,",Remote",Full-time
Research Prompt Engineer,"Hybrid remote in San Francisco, CA",Anthropic,I cannot find any programming languages mentioned in the text you provided.,"$280,000 - $405,000 a year",N/A,Hybrid,N/A
Cyber Security Specialist,"Huntersville, NC 28078",Business Control Systems,N/A,$70.50 - $73.50 an hour,N/A,In person,Full-time
Software Engineer,"Lexington, MA",MIT Lincoln Laboratory,"Java, Maven, JSON, Hibernate, Spring Framework, Oracle, Junit, Jenkins, REST, Cassandra, SOAP, Cucumber, SQL, J2EE",N/A,"Computer Engineering, Computer Science, Information Technology",N/A,Full-time
Software Engineer,"Columbus, OH 43240 
(Polaris area)",JPMorgan Chase & Co,"Java, JSON, Maven, Junit, Microservices, REST, GIT, Spring Framework, SQL, Hibernate, Oracle, Cassandra, Cucumber, J2EE",N/A,"Computer Engineering, Computer Science, Information Technology",N/A,full-time
Data Scientist,"Hillsboro, OR",INTEL,"Python, N/A, N/A, N/A","$186,552 - $279,772 a year",N/A,Hybrid,N/A
Business Data Analyst,"Tampa, FL 33607 
(Tampa International Airport area)",McNichols,"SQL, XML, Python, JavaScript",N/A,"Bachelors in Business, Accounting/Finance, Statistics, Computer Science, or a related field, N/A",In-person,Full-time
Data Analyst,"Hasbrouck Heights, NJ 07604",WTEC Energy,"Power BI, MySQL, SQL, Advanced Excel",N/A,"Information Technology, Computer Science, or a related field",In person,Full-time
Research Assistant,"Pasadena, CA 91125 
(Pasadena area)",California Institute of Technology,"coding, GIS",N/A,N/A,N/A,Internship
Computer Vision engineer,"New York, NY",Viatouch Media Inc,"Python, N/A, C/C++","$142,855 - $155,755 a year",MS or PhD in CS/EE or related field,In person,Full-time
Software Engineer,"Jersey City, NJ 07310 
(The Waterfront area)",JPMorgan Chase & Co,"**Programming Languages:**

- Java
- Python
- JSON","$169,229 - $215,000 a year","Computer Engineering, Computer Science, Information Technology, Information Systems",Hybrid,full-time
Data Science Co-op,"Hazelwood, MO 63042",bioMerieux SA,"SAS, Python",N/A,",Data Science",N/A,Internship
Business Solutions IT Analyst,"Hazle Township, PA 18202",Confidential,N/A,"$85,000 - $110,000 a year","Computer Science, Information Technology, or a related field",In person,Full-time
Software Engineer,"Jersey City, NJ 07310 
(The Waterfront area)",JPMorgan Chase & Co,"Java, Python","$173,000 - $260,000 a year","Computer Engineering, Computer Science, Information Technology, or Information Systems",Hybrid,Full-time
Full Stack .Net Developer,Remote,Galactic Advisors,"C#, .NET","$75,000 - $120,000 a year",Bachelor's degree in Computer Science or relevant field,Remote,Full-time
"Software QA Engineer, Material Flow System","Fremont, CA",Tesla,"Java, JavaScript/TypeScript, Python","$96,000 - $282,000 a year","BA/BS in Computer Science, IT, or related field",In-person,full-time
Software Developer - Web,"Pleasant Prairie, WI 53158",Uline,".NET, MVC, C#, JavaScript (jQuery or TypeScript)",N/A,"Computer Science, Information Technology, or a related field.",In-person,N/A
Machine Vision Programmer,"Randolph, NJ",Catapult Search Group,"C#,.NET","$90,000 - $105,000 a year",N/A,In person,Full-time
Data Engineer I (US),"Mount Laurel, NJ 08054",TD Bank,"Hive, Python, Pyspark, Spark, Sqoop",$28.25 - $45.00 an hour,"Data Management or related discipline (e.g. Computer Science, Engineering)",Hybrid,full-time
Information Technology Manager,"Maple Grove, MN 55369",Midwest Hardwood Company,N/A,"$90,000 - $120,000 a year","Information Technology, Computer Science",In person,Full-time
Information Technology Specialist,"Fort Lauderdale, FL 33306 
(Coral Ridge Country Club area)",Insurance Pipeline Inc (IPI),N/A,N/A,Information Technology,In-person,Full-time
Embedded Firmware Engineer,"Irvine, CA",SkillsetGroup,"C-chip, Real-Time C","$100,000 - $160,000 a year",N/A,In-person,Full-time
Applied Machine Learning Engineer,"Lexington, MA",MIT Lincoln Laboratory,"Matlab, Python, Julia, C++, Rust, N/A",N/A,N/A,Hybrid,N/A
Sr. Data Scientist,Remote,Symetra Financial,"SQL, Python, R",N/A,N/A,REMOTE,full-time
Research Scientist / Computer Systems Researcher,"Fort Meade, MD",National Security Agency,"low level
high level
parallel","$102,477 - $191,900 a year","Computer Science, Computer Engineering",N/A,full-time
Artificial Intelligence (AI) Analyst (hybrid),"Bellevue, WA 98005 
(Wilburton area)",Prowess Consulting,N/A,N/A,N/A,Hybrid,Full-time
"Applied Scientist, Modeling and Optimization","Bellevue, WA",Amazon.com Services LLC,N/A,"From $115,100 a year","engineering, technology, computer science, machine learning, robotics, operations research, statistics, mathematics",N/A,N/A
Software Engineer,"Columbus, OH 43240 
(Polaris area)",JPMorgan Chase & Co,"Linux, Unix, Windows, Java, Javascript, SQL, Python",N/A,N/A,Hybrid,Full-time
Manager -Data Science,"Hybrid remote in New York, NY",Amex,N/A,"$90,000 - $165,000 a year",N/A,Hybrid,N/A
IT Innovation Manager,"Arlington, VA",Nestlé IT,N/A,"$115,000 - $175,000 a year","computer science, data analytics, engineering, ethics, or related field",N/A,N/A
Lead Quality Testing Engineer (Hybrid),"Hybrid remote in Rosemount, MN 55068",Securian Financial Group,"JavaScript, Jest, Typescript, Java, Junit, HTML, JSON, SQL",N/A,N/A,Hybrid,N/A
"Research Scientist, Generative AI","Palo Alto, CA",Snapchat,"Python, C, C++","$143,000 - $214,000 a year",N/A,In-person,full-time
Computer Support,"Albany, NY",AccuStaff,N/A,$18 - $19 an hour,N/A,In-person,Full-time
"Threat Analyst, Malware","Fremont, CA",Tesla,"Python, Ruby, Go","$104,000 - $348,000 a year","Computer Science, Physics, Computer Engineering, Electrical Engineering",N/A,Full-time
Senior Data Analyst,"Hasbrouck Heights, NJ 07604",WTEC Energy,"Power BI, MySQL, SQL","$90,000 - $120,000 a year","Information Technology, Computer Science",In person,Full-time
Software Developer (Embedded Linux),"Denver, CO 80207 
(South Park Hill area)",SAGEMCOM (92500),"C, C++","$80,000 - $115,000 a year",Computer science,In person,Full-time
Security Network Engineer,"Methuen, MA 01844",Robert Half,N/A,$60 - $75 an hour,"Computer Science, Information Security",N/A,Full-time
Prompt Engineer & Librarian,"Hybrid remote in New York, NY",Anthropic,N/A,"$250,000 - $375,000 a year",N/A,Hybrid,N/A
Observatory Operations Software Engineer,"Pasadena, CA 91125 
(Pasadena area)",California Institute of Technology,"Python, C++, C#",N/A,N/A,N/A,Fulltime
Software Engineer,"New York, NY 10017 
(Midtown area)",JPMorgan Chase & Co,"Java, Maven, UNIX, Junit, Microservices, Performance Testing, Shell Scripting, Splunk, Apache Kafka, Jenkins, Kubernetes, SOAP, REST, Spring Framework, WebSphere, Apache Tomcat, Cassandra, Linux, XML","$186,000 - $215,000 a year","Computer Engineering, Computer Science, or related field of study",Hybrid,Full-time
Software Engineer,"Jersey City, NJ 07310 
(The Waterfront area)",JPMorgan Chase & Co,"Java, Maven, Microservices, Spring Framework, XML, UNIX, Junit, Linux, Cassandra, Shell Scripting, Splunk, Apache Kafka, Apache Tomcat, WebSphere, Kubernetes, SOAP, REST","$171,000 - $215,000 a year","Computer Engineering, Computer Science, or related field of study, Master’s degree",Hybrid,Full-time
Software Engineer,"Palo Alto, CA 94304",JPMorgan Chase & Co,"Java, Maven, UNIX, Junit, Microservices, Performance Testing, Shell Scripting, Splunk, Apache Kafka, Jenkins, Kubernetes, SOAP, REST web services, Spring Framework, WebSphere, Apache Tomcat, Cassandra, Linux, Software Development, XML","$283,442 a year","Computer Engineering, Computer Science",Hybrid,Full-time
Program Manager,"Fremont, CA",Tesla,N/A,"$68,000 - $222,000 a year",N/A,N/A,full-time
Assistant Research Scientist,"College Park, MD 20742",University of Maryland,N/A,N/A,N/A,N/A,full-time
Machine Learning Research Co-Op,"Framingham, MA",Bose,"Python, Tensorflow, Keras, PyTorch",N/A,N/A,N/A,Internship
Business Systems Analyst (Oracle),"Minnetonka, MN",Aramark Uniform Services,N/A,N/A,"Business, Computer Science, or related field",N/A,Full-time
Senior Software Developer - Java,"Pleasant Prairie, WI 53158",Uline,Java,N/A,N/A,In-person,N/A
Calle Center Data Analyst,"Remote in Chicago, IL",Best Foot Forward Solution Services,N/A,"$53,016 - $67,826 a year","BS in Mathematics, Economics, Computer Science, Information Management or Statistics",Remote,Full-time
"2024 Co-Op, Cloud Engineering","Seattle, WA 98109 
(South Lake Union area)",Moderna,"Python, Terraform, Ansible, SQL, AWS",N/A,N/A,N/A,Internship
IT Engineer,"Pittston, PA 18640",American Flooring LLC,N/A,"$45,500 - $55,000 a year","Computer Science, Big Data, Electronic Communications, or Automation",In person,Full-time
System Administrator,"Fort Meade, MD",RACTSOL Corp,"Linux, Unix, Windows","$95,000 - $180,000 a year","Computer Science, Information Systems, Engineering",In-person,N/A
Business Analyst,Remote,Libra Solutions,N/A,N/A,N/A,Remote,Full-time
"Software Engineer, Generative AI for Developer Tools","Westford, MA 01886",NVIDIA,"Python, C++, CUDA C/C++","$120,000 - $230,000 a year","Computer science, mathematics, or related engineering fields",N/A,N/A
Student Summer Research Assistant- Computer Science #554053737,"Pomona, CA 91768","Cal Poly Pomona Foundation, Inc.",N/A,From $20 an hour,N/A,N/A,Internship
Senior Data Architect #TS999,"Lexington Park, MD 20653",CRL Technologies,N/A,N/A,"Computer Science, Data Science",In-person,N/A
Ld Enterprise Architect,"Hybrid remote in Franklin, WI 53132",Northwestern Mutual,N/A,"From $121,030 a year",N/A,Hybrid,N/A
